"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",2002,42.129,25268405,726.7340548
"2","Afghanistan","Asia",2007,43.828,31889923,974.5803384
"3","Albania","Europe",2002,75.651,3508512,4604.211737
"4","Albania","Europe",2007,76.423,3600523,5937.029526
"5","Algeria","Africa",2002,70.994,31287142,5288.040382
"6","Algeria","Africa",2007,72.301,33333216,6223.367465
"7","Angola","Africa",2002,41.003,10866106,2773.287312
"8","Angola","Africa",2007,42.731,12420476,4797.231267
"9","Argentina","Americas",2002,74.34,38331121,8797.640716
"10","Argentina","Americas",2007,75.32,40301927,12779.37964
"11","Australia","Oceania",2002,80.37,19546792,30687.75473
"12","Australia","Oceania",2007,81.235,20434176,34435.36744
"13","Austria","Europe",2002,78.98,8148312,32417.60769
"14","Austria","Europe",2007,79.829,8199783,36126.4927
"15","Bahrain","Asia",2002,74.795,656397,23403.55927
"16","Bahrain","Asia",2007,75.635,708573,29796.04834
"17","Bangladesh","Asia",2002,62.013,135656790,1136.39043
"18","Bangladesh","Asia",2007,64.062,150448339,1391.253792
"19","Belgium","Europe",2002,78.32,10311970,30485.88375
"20","Belgium","Europe",2007,79.441,10392226,33692.60508
"21","Benin","Africa",2002,54.406,7026113,1372.877931
"22","Benin","Africa",2007,56.728,8078314,1441.284873
"23","Bolivia","Americas",2002,63.883,8445134,3413.26269
"24","Bolivia","Americas",2007,65.554,9119152,3822.137084
"25","Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"26","Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"27","Botswana","Africa",2002,46.634,1630347,11003.60508
"28","Botswana","Africa",2007,50.728,1639131,12569.85177
"29","Brazil","Americas",2002,71.006,179914212,8131.212843
"30","Brazil","Americas",2007,72.39,190010647,9065.800825
"31","Bulgaria","Europe",2002,72.14,7661799,7696.777725
"32","Bulgaria","Europe",2007,73.005,7322858,10680.79282
"33","Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"34","Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"35","Burundi","Africa",2002,47.36,7021078,446.4035126
"36","Burundi","Africa",2007,49.58,8390505,430.0706916
"37","Cambodia","Asia",2002,56.752,12926707,896.2260153
"38","Cambodia","Asia",2007,59.723,14131858,1713.778686
"39","Cameroon","Africa",2002,49.856,15929988,1934.011449
"40","Cameroon","Africa",2007,50.43,17696293,2042.09524
"41","Canada","Americas",2002,79.77,31902268,33328.96507
"42","Canada","Americas",2007,80.653,33390141,36319.23501
"43","Central African Republic","Africa",2002,43.308,4048013,738.6906068
"44","Central African Republic","Africa",2007,44.741,4369038,706.016537
"45","Chad","Africa",2002,50.525,8835739,1156.18186
"46","Chad","Africa",2007,50.651,10238807,1704.063724
"47","Chile","Americas",2002,77.86,15497046,10778.78385
"48","Chile","Americas",2007,78.553,16284741,13171.63885
"49","China","Asia",2002,72.028,1280400000,3119.280896
"50","China","Asia",2007,72.961,1318683096,4959.114854
"51","Colombia","Americas",2002,71.682,41008227,5755.259962
"52","Colombia","Americas",2007,72.889,44227550,7006.580419
"53","Comoros","Africa",2002,62.974,614382,1075.811558
"54","Comoros","Africa",2007,65.152,710960,986.1478792
"55","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"56","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"57","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"58","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798
"59","Costa Rica","Americas",2002,78.123,3834934,7723.447195
"60","Costa Rica","Americas",2007,78.782,4133884,9645.06142
"61","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"62","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"63","Croatia","Europe",2002,74.876,4481020,11628.38895
"64","Croatia","Europe",2007,75.748,4493312,14619.22272
"65","Cuba","Americas",2002,77.158,11226999,6340.646683
"66","Cuba","Americas",2007,78.273,11416987,8948.102923
"67","Czech Republic","Europe",2002,75.51,10256295,17596.21022
"68","Czech Republic","Europe",2007,76.486,10228744,22833.30851
"69","Denmark","Europe",2002,77.18,5374693,32166.50006
"70","Denmark","Europe",2007,78.332,5468120,35278.41874
"71","Djibouti","Africa",2002,53.373,447416,1908.260867
"72","Djibouti","Africa",2007,54.791,496374,2082.481567
"73","Dominican Republic","Americas",2002,70.847,8650322,4563.808154
"74","Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"75","Ecuador","Americas",2002,74.173,12921234,5773.044512
"76","Ecuador","Americas",2007,74.994,13755680,6873.262326
"77","Egypt","Africa",2002,69.806,73312559,4754.604414
"78","Egypt","Africa",2007,71.338,80264543,5581.180998
"79","El Salvador","Americas",2002,70.734,6353681,5351.568666
"80","El Salvador","Americas",2007,71.878,6939688,5728.353514
"81","Equatorial Guinea","Africa",2002,49.348,495627,7703.4959
"82","Equatorial Guinea","Africa",2007,51.579,551201,12154.08975
"83","Eritrea","Africa",2002,55.24,4414865,765.3500015
"84","Eritrea","Africa",2007,58.04,4906585,641.3695236
"85","Ethiopia","Africa",2002,50.725,67946797,530.0535319
"86","Ethiopia","Africa",2007,52.947,76511887,690.8055759
"87","Finland","Europe",2002,78.37,5193039,28204.59057
"88","Finland","Europe",2007,79.313,5238460,33207.0844
"89","France","Europe",2002,79.59,59925035,28926.03234
"90","France","Europe",2007,80.657,61083916,30470.0167
"91","Gabon","Africa",2002,56.761,1299304,12521.71392
"92","Gabon","Africa",2007,56.735,1454867,13206.48452
"93","Gambia","Africa",2002,58.041,1457766,660.5855997
"94","Gambia","Africa",2007,59.448,1688359,752.7497265
"95","Germany","Europe",2002,78.67,82350671,30035.80198
"96","Germany","Europe",2007,79.406,82400996,32170.37442
"97","Ghana","Africa",2002,58.453,20550751,1111.984578
"98","Ghana","Africa",2007,60.022,22873338,1327.60891
"99","Greece","Europe",2002,78.256,10603863,22514.2548
"100","Greece","Europe",2007,79.483,10706290,27538.41188
"101","Guatemala","Americas",2002,68.978,11178650,4858.347495
"102","Guatemala","Americas",2007,70.259,12572928,5186.050003
"103","Guinea","Africa",2002,53.676,8807818,945.5835837
"104","Guinea","Africa",2007,56.007,9947814,942.6542111
"105","Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"106","Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"107","Haiti","Americas",2002,58.137,7607651,1270.364932
"108","Haiti","Americas",2007,60.916,8502814,1201.637154
"109","Honduras","Americas",2002,68.565,6677328,3099.72866
"110","Honduras","Americas",2007,70.198,7483763,3548.330846
"111","Hong Kong, China","Asia",2002,81.495,6762476,30209.01516
"112","Hong Kong, China","Asia",2007,82.208,6980412,39724.97867
"113","Hungary","Europe",2002,72.59,10083313,14843.93556
"114","Hungary","Europe",2007,73.338,9956108,18008.94444
"115","Iceland","Europe",2002,80.5,288030,31163.20196
"116","Iceland","Europe",2007,81.757,301931,36180.78919
"117","India","Asia",2002,62.879,1034172547,1746.769454
"118","India","Asia",2007,64.698,1110396331,2452.210407
"119","Indonesia","Asia",2002,68.588,211060000,2873.91287
"120","Indonesia","Asia",2007,70.65,223547000,3540.651564
"121","Iran","Asia",2002,69.451,66907826,9240.761975
"122","Iran","Asia",2007,70.964,69453570,11605.71449
"123","Iraq","Asia",2002,57.046,24001816,4390.717312
"124","Iraq","Asia",2007,59.545,27499638,4471.061906
"125","Ireland","Europe",2002,77.783,3879155,34077.04939
"126","Ireland","Europe",2007,78.885,4109086,40675.99635
"127","Israel","Asia",2002,79.696,6029529,21905.59514
"128","Israel","Asia",2007,80.745,6426679,25523.2771
"129","Italy","Europe",2002,80.24,57926999,27968.09817
"130","Italy","Europe",2007,80.546,58147733,28569.7197
"131","Jamaica","Americas",2002,72.047,2664659,6994.774861
"132","Jamaica","Americas",2007,72.567,2780132,7320.880262
"133","Japan","Asia",2002,82,127065841,28604.5919
"134","Japan","Asia",2007,82.603,127467972,31656.06806
"135","Jordan","Asia",2002,71.263,5307470,3844.917194
"136","Jordan","Asia",2007,72.535,6053193,4519.461171
"137","Kenya","Africa",2002,50.992,31386842,1287.514732
"138","Kenya","Africa",2007,54.11,35610177,1463.249282
"139","Korea, Dem. Rep.","Asia",2002,66.662,22215365,1646.758151
"140","Korea, Dem. Rep.","Asia",2007,67.297,23301725,1593.06548
"141","Korea, Rep.","Asia",2002,77.045,47969150,19233.98818
"142","Korea, Rep.","Asia",2007,78.623,49044790,23348.13973
"143","Kuwait","Asia",2002,76.904,2111561,35110.10566
"144","Kuwait","Asia",2007,77.588,2505559,47306.98978
"145","Lebanon","Asia",2002,71.028,3677780,9313.93883
"146","Lebanon","Asia",2007,71.993,3921278,10461.05868
"147","Lesotho","Africa",2002,44.593,2046772,1275.184575
"148","Lesotho","Africa",2007,42.592,2012649,1569.331442
"149","Liberia","Africa",2002,43.753,2814651,531.4823679
"150","Liberia","Africa",2007,45.678,3193942,414.5073415
"151","Libya","Africa",2002,72.737,5368585,9534.677467
"152","Libya","Africa",2007,73.952,6036914,12057.49928
"153","Madagascar","Africa",2002,57.286,16473477,894.6370822
"154","Madagascar","Africa",2007,59.443,19167654,1044.770126
"155","Malawi","Africa",2002,45.009,11824495,665.4231186
"156","Malawi","Africa",2007,48.303,13327079,759.3499101
"157","Malaysia","Asia",2002,73.044,22662365,10206.97794
"158","Malaysia","Asia",2007,74.241,24821286,12451.6558
"159","Mali","Africa",2002,51.818,10580176,951.4097518
"160","Mali","Africa",2007,54.467,12031795,1042.581557
"161","Mauritania","Africa",2002,62.247,2828858,1579.019543
"162","Mauritania","Africa",2007,64.164,3270065,1803.151496
"163","Mauritius","Africa",2002,71.954,1200206,9021.815894
"164","Mauritius","Africa",2007,72.801,1250882,10956.99112
"165","Mexico","Americas",2002,74.902,102479927,10742.44053
"166","Mexico","Americas",2007,76.195,108700891,11977.57496
"167","Mongolia","Asia",2002,65.033,2674234,2140.739323
"168","Mongolia","Asia",2007,66.803,2874127,3095.772271
"169","Montenegro","Europe",2002,73.981,720230,6557.194282
"170","Montenegro","Europe",2007,74.543,684736,9253.896111
"171","Morocco","Africa",2002,69.615,31167783,3258.495584
"172","Morocco","Africa",2007,71.164,33757175,3820.17523
"173","Mozambique","Africa",2002,44.026,18473780,633.6179466
"174","Mozambique","Africa",2007,42.082,19951656,823.6856205
"175","Myanmar","Asia",2002,59.908,45598081,611
"176","Myanmar","Asia",2007,62.069,47761980,944
"177","Namibia","Africa",2002,51.479,1972153,4072.324751
"178","Namibia","Africa",2007,52.906,2055080,4811.060429
"179","Nepal","Asia",2002,61.34,25873917,1057.206311
"180","Nepal","Asia",2007,63.785,28901790,1091.359778
"181","Netherlands","Europe",2002,78.53,16122830,33724.75778
"182","Netherlands","Europe",2007,79.762,16570613,36797.93332
"183","New Zealand","Oceania",2002,79.11,3908037,23189.80135
"184","New Zealand","Oceania",2007,80.204,4115771,25185.00911
"185","Nicaragua","Americas",2002,70.836,5146848,2474.548819
"186","Nicaragua","Americas",2007,72.899,5675356,2749.320965
"187","Niger","Africa",2002,54.496,11140655,601.0745012
"188","Niger","Africa",2007,56.867,12894865,619.6768924
"189","Nigeria","Africa",2002,46.608,119901274,1615.286395
"190","Nigeria","Africa",2007,46.859,135031164,2013.977305
"191","Norway","Europe",2002,79.05,4535591,44683.97525
"192","Norway","Europe",2007,80.196,4627926,49357.19017
"193","Oman","Asia",2002,74.193,2713462,19774.83687
"194","Oman","Asia",2007,75.64,3204897,22316.19287
"195","Pakistan","Asia",2002,63.61,153403524,2092.712441
"196","Pakistan","Asia",2007,65.483,169270617,2605.94758
"197","Panama","Americas",2002,74.712,2990875,7356.031934
"198","Panama","Americas",2007,75.537,3242173,9809.185636
"199","Paraguay","Americas",2002,70.755,5884491,3783.674243
"200","Paraguay","Americas",2007,71.752,6667147,4172.838464
"201","Peru","Americas",2002,69.906,26769436,5909.020073
"202","Peru","Americas",2007,71.421,28674757,7408.905561
"203","Philippines","Asia",2002,70.303,82995088,2650.921068
"204","Philippines","Asia",2007,71.688,91077287,3190.481016
"205","Poland","Europe",2002,74.67,38625976,12002.23908
"206","Poland","Europe",2007,75.563,38518241,15389.92468
"207","Portugal","Europe",2002,77.29,10433867,19970.90787
"208","Portugal","Europe",2007,78.098,10642836,20509.64777
"209","Puerto Rico","Americas",2002,77.778,3859606,18855.60618
"210","Puerto Rico","Americas",2007,78.746,3942491,19328.70901
"211","Reunion","Africa",2002,75.744,743981,6316.1652
"212","Reunion","Africa",2007,76.442,798094,7670.122558
"213","Romania","Europe",2002,71.322,22404337,7885.360081
"214","Romania","Europe",2007,72.476,22276056,10808.47561
"215","Rwanda","Africa",2002,43.413,7852401,785.6537648
"216","Rwanda","Africa",2007,46.242,8860588,863.0884639
"217","Sao Tome and Principe","Africa",2002,64.337,170372,1353.09239
"218","Sao Tome and Principe","Africa",2007,65.528,199579,1598.435089
"219","Saudi Arabia","Asia",2002,71.626,24501530,19014.54118
"220","Saudi Arabia","Asia",2007,72.777,27601038,21654.83194
"221","Senegal","Africa",2002,61.6,10870037,1519.635262
"222","Senegal","Africa",2007,63.062,12267493,1712.472136
"223","Serbia","Europe",2002,73.213,10111559,7236.075251
"224","Serbia","Europe",2007,74.002,10150265,9786.534714
"225","Sierra Leone","Africa",2002,41.012,5359092,699.489713
"226","Sierra Leone","Africa",2007,42.568,6144562,862.5407561
"227","Singapore","Asia",2002,78.77,4197776,36023.1054
"228","Singapore","Asia",2007,79.972,4553009,47143.17964
"229","Slovak Republic","Europe",2002,73.8,5410052,13638.77837
"230","Slovak Republic","Europe",2007,74.663,5447502,18678.31435
"231","Slovenia","Europe",2002,76.66,2011497,20660.01936
"232","Slovenia","Europe",2007,77.926,2009245,25768.25759
"233","Somalia","Africa",2002,45.936,7753310,882.0818218
"234","Somalia","Africa",2007,48.159,9118773,926.1410683
"235","South Africa","Africa",2002,53.365,44433622,7710.946444
"236","South Africa","Africa",2007,49.339,43997828,9269.657808
"237","Spain","Europe",2002,79.78,40152517,24835.47166
"238","Spain","Europe",2007,80.941,40448191,28821.0637
"239","Sri Lanka","Asia",2002,70.815,19576783,3015.378833
"240","Sri Lanka","Asia",2007,72.396,20378239,3970.095407
"241","Sudan","Africa",2002,56.369,37090298,1993.398314
"242","Sudan","Africa",2007,58.556,42292929,2602.394995
"243","Swaziland","Africa",2002,43.869,1130269,4128.116943
"244","Swaziland","Africa",2007,39.613,1133066,4513.480643
"245","Sweden","Europe",2002,80.04,8954175,29341.63093
"246","Sweden","Europe",2007,80.884,9031088,33859.74835
"247","Switzerland","Europe",2002,80.62,7361757,34480.95771
"248","Switzerland","Europe",2007,81.701,7554661,37506.41907
"249","Syria","Asia",2002,73.053,17155814,4090.925331
"250","Syria","Asia",2007,74.143,19314747,4184.548089
"251","Taiwan","Asia",2002,76.99,22454239,23235.42329
"252","Taiwan","Asia",2007,78.4,23174294,28718.27684
"253","Tanzania","Africa",2002,49.651,34593779,899.0742111
"254","Tanzania","Africa",2007,52.517,38139640,1107.482182
"255","Thailand","Asia",2002,68.564,62806748,5913.187529
"256","Thailand","Asia",2007,70.616,65068149,7458.396327
"257","Togo","Africa",2002,57.561,4977378,886.2205765
"258","Togo","Africa",2007,58.42,5701579,882.9699438
"259","Trinidad and Tobago","Americas",2002,68.976,1101832,11460.60023
